id,area_id,music_track_ids,neighboring_subarea_ids
0,0,32,
1,0,32,34|161|173|180|479|488
2,0,32,10|15|28|29|33|41|91|101|102|480|491
3,0,32,13|14|27|179|479|481|482|485
4,0,32,5|6|21|22|29|31|35|103|170|480|481|490|492
5,0,32,4|21|481|482|483
6,0,32,4|7|103
7,0,32,6
8,0,32,91|233|276|277|483
9,0,32,22
10,0,32,2|15|16|17|20|29|91|315|479|480|484|485|488
11,0,32,29|87|170
12,0,32,32|170
13,0,5,3|27|179
14,0,7,3|479|485
15,0,4,2|10
16,0,9,10|480
17,0,10,10
18,0,2,479
19,0,6,20|484
20,0,1,10|19|484
21,0,8,4|5|480
22,0,32,4|170
23,0,32,29|61|91|170|315
25,1,121,161|162|163|164
26,0,3,479|485|486
27,0,32,3|13|179|479|481
28,0,32,2|101|180|278|488
29,0,32,2|4|10|11|23|87|103|170|200|480|481
30,4,32,97|98
31,0,32,4|233
32,5,32,12|181|451|452|466|490
33,6,32,2|168|169
34,3,32,1
35,0,32,4|490
37,7,116,43|44|45|46|47|48|49|50|51|73|279
38,8,30,43|54|55|56|57|59|62|68|69|70|84|169|178|231|235|279|334
39,0,32,6
41,0,32,2|101|102
42,8,30,54
43,7,116,37|38|44|46|47|48|68|69|279
44,7,116,37|43|47|73
45,7,116,37|46|50
46,7,116,37|43|45
47,7,116,37|43|44|49
48,7,116,37|43
49,7,116,37|47
50,7,116,37|45
51,7,116,37
53,11,117,61|72|75
54,8,30,38|42|68|76|84|169|177|178|493|498
55,8,30,38
56,8,30,38
57,12,31,38|61|71|72|94|212|492|495
59,8,30,38
61,12,31,23|53|57
62,13,32,38|64
63,13,32,67|74
64,13,32,62|65
65,13,32,64|66
66,13,32,65|67
67,13,32,63|66
68,8,30,38|43|54|69
69,8,30,38|43|68|209
70,8,30,38
71,12,31,57|496
72,12,31,53|57|280
73,7,131,37|43|44|337
74,13,32,62|63
75,11,131,53|338
76,14,30,54|79|80|81
77,0,32,12
78,0,32,77
79,14,30,76|80
80,14,30,76|79|81
81,14,30,76|80
82,4,32,
83,17,32,88
84,15,30,38|54|85|86
85,16,30,84
86,15,30,84
87,0,32,11|23|29|170
88,17,32,
89,0,0,
91,0,32,2|8|10|23|96|480
92,18,32,95|97|98|101|102|169|173|177
93,2,120,165|167
94,12,32,57
95,18,32,38|92|99
96,18,32,91|98|173
97,18,32,30|92|98|174|177|178
98,18,32,30|92|96|97|335
99,18,32,95|100|181
100,18,32,99
101,18,32,2|28|41|92|102|173|278|488
102,25,32,2|41|92|101|169
103,0,32,4|6|29|481|490
105,19,125,106|107|108|109|119|143|171|476
106,20,125,105|113|117|124|171
107,22,125,105|112|116|171|476
108,23,125,105|111|115|119|171
109,21,125,105|114|118|119|171
110,0,32,
111,23,125,108|115
112,22,125,107|116
113,20,125,106|117
114,21,125,109|118
115,23,125,108|111|120
116,22,125,107|112|121
117,20,125,106|113|122
118,21,125,109|114|123
119,19,125,105|108|109|171
120,23,125,115
121,22,125,116
122,20,125,117
123,21,125,118
124,24,125,
125,24,125,126
126,24,125,127
127,24,125,128
128,24,125,129
129,24,125,130
130,24,125,131
131,24,125,132
132,24,125,153
133,24,125,109|134
134,24,125,135
135,24,125,136|137|138
136,24,125,139
137,24,125,139
138,24,125,139
139,24,125,140
140,24,125,141
141,24,125,
143,19,125,105|173
144,24,125,116|145
145,24,125,144|146|147|148
146,24,125,145|149
147,24,125,145|150
148,24,125,145|149|150|151
149,24,125,146|148
150,24,125,147|148
151,24,125,148
152,19,125,476
153,24,125,
154,43,32,155
155,43,32,156
156,43,32,157|322
157,43,32,158
158,43,32,159
159,43,32,156
161,1,121,1|25
162,1,121,25
163,1,121,25
164,1,121,25
165,2,120,93|166|167|481
166,2,120,165
167,2,120,93
168,6,30,33|169|231
169,6,30,33|38|54|92|102|168|177
170,0,30,4|11|12|22|23|29|87|490
171,19,30,105|106|107|108|109|119
173,18,30,1|92|96|101|143|335
174,18,30,97
175,27,32,
177,8,30,54|92|97|169|178
178,8,30,38|54|97|177
179,0,30,3|13|27
180,0,,1|28|181|278|479
181,0,,32|99|180|339|488
182,28,,235
200,26,32,29
201,29,32,202
202,29,32,203
203,29,32,204
204,29,32,205|206
205,29,32,204
206,29,32,
207,29,32,269
208,29,32,270
209,30,32,69
210,31,32,319
211,32,32,
212,33,32,57
213,33,32,214
214,33,32,215
215,33,32,216|218
216,33,32,217
217,33,32,220
218,33,32,219
219,33,32,220
220,33,32,212|221
221,33,32,222
222,33,32,292
223,34,32,224
224,34,32,225
225,34,32,229
226,34,32,227
227,34,32,228
228,34,32,
229,34,32,226
230,28,32,234
231,28,32,38|168|232|235
232,28,32,231|233|235
233,28,32,8|31|232|234|235
234,28,32,230|233|235
235,28,32,38|182|231|232|233|234|253
236,36,32,
243,37,32,244
244,37,32,245
245,37,32,246
246,37,32,247
247,37,32,248
248,37,32,249
249,37,32,250
250,37,32,251
251,37,32,252|317
252,37,32,2|251
253,28,32,235|275
254,35,32,255
255,35,32,256
256,35,32,261
257,35,32,261
258,35,32,261
259,35,32,261
260,35,32,261
261,35,32,257|258|259|260
266,35,32,267
267,35,32,
268,29,32,271
269,29,32,274
270,29,32,274
271,29,32,272
272,29,32,273
273,29,32,313
274,29,32,313
275,28,32,253
276,0,32,8
277,0,32,8
278,18,32,28|101|180
279,7,32,37|38|43
280,11,32,72
284,39,32,285
285,39,32,286
286,39,32,287
287,39,32,288
288,39,32,289
289,39,32,290
290,39,32,291
291,39,32,
292,33,32,293
293,33,32,294
294,33,32,295
295,33,32,296
296,33,32,212
297,40,30,298
298,40,30,299
299,40,30,300
300,40,30,301
301,40,30,302
302,40,30,303
303,40,30,304
304,40,30,170
306,41,30,307
307,41,30,308
308,41,30,309
309,41,30,310
310,41,30,311
311,41,30,312
312,41,30,98
313,29,32,3
314,0,32,315|325
315,49,32,23|316
316,0,32,315
317,37,32,251
318,18,32,10
319,31,32,210
320,42,32,
321,42,32,320
322,43,32,323
323,43,32,324
324,43,32,
325,44,32,326
326,44,32,327
327,44,32,328
328,44,32,329
329,44,32,330
330,44,32,331
331,44,32,332
332,44,32,333
333,44,32,
334,8,32,38
335,18,32,98|173|336
336,18,32,335
337,7,32,73
338,11,32,75
339,0,32,181
440,45,32,446
441,45,32,443|450
442,45,32,443|444|448|449
443,45,32,441|442|445|448|449|450
444,45,32,442|445|448
445,45,32,443|444|448|450
446,45,32,450
447,45,32,448
448,45,32,442|443|444|445|447
449,45,32,442|443
450,45,32,441|443|445|446
451,46,137,32|168|466
452,46,137,32
453,46,137,454|457|465|466|467
454,46,137,453|455|465|466|470
455,46,137,454|472
457,46,137,453|461
459,46,137,
460,46,137,
461,46,137,457
462,46,137,
463,46,137,
464,46,137,469|472|478
465,46,137,453|454
466,46,137,32|451|453|454
467,46,137,453
468,47,137,469|477|478
469,46,137,464|468|472
470,46,137,
471,46,137,457|538
472,46,137,455|464|469
473,46,137,
474,46,137,
476,19,125,105|107|152
477,47,137,468
478,47,32,464|468
479,0,31,1|3|10|14|18|26|27|180|485|486
480,0,30,2|4|10|16|21|29|91|482|484
481,0,32,3|4|5|27|93|103|165
482,0,32,3|5|480|483|484
483,0,32,5|8|482
484,0,32,10|19|20|480|482|485
485,0,32,3|10|14|26|479|484|486
486,0,32,26|479|485
487,19,125,108
488,0,32,1|10|28|101|181
490,0,32,4|32|35|103|170
491,0,32,2
492,0,32,4|57
493,8,125,
494,12,125,
495,12,125,57
496,12,135,
497,8,134,
498,8,32,
499,30,32,
500,47,32,453
501,0,32,
502,11,31,61|72|75
503,11,31,61|72|75
504,11,31,61|72|75
505,11,31,61|72|75
506,11,31,61|72|75
507,11,31,61|72|75
508,11,31,61|72|75
509,11,31,61|72|75
510,11,117,61|72|75
511,11,31,61|72|75
512,7,116,43|44|45|46|47|48|49|50|51|73|279
513,7,116,43|44|45|46|47|48|49|50|51|73|279
514,7,116,43|44|45|46|47|48|49|50|51|73|279
515,11,31,61|72|75
536,0,32,
537,0,32,2|4|10|11|23|87|103|170|200|480|481
538,46,137,471
