id,type,args,nom
78,1,82,En savoir plus sur son histoire
79,1,83,En savoir encore plus
80,1,84,Se moquer d'Amine
81,2001,,Se renseigner sur l'ordre du cul botté 
82,2001,,Acheter des Bottes
109,1,127,Se renseigner sur la corde des arcs
110,1,128,Se renseigner sur les Bois utilisés pour les arcs
111,1,129,Se renseigner sur les arcs magiques
112,1,130,Se renseigner sur les fêtes de la taverne
113,1,131,Se renseigner sur la Bière 
116,1,135,Participer à la Grande Tombola d'Amakna
118,1,136,Acheter un ticket à 10 Kamas 
121,1,144,"Participer au jeu ""Les Chopines du Hasard"""
122,1,138,Miser 100 Kamas
124,1,140,Choisir une chopine au hasard
126,1,164,Choisir la chopine en Bronze
127,1,164,Choisir la chopine en Etain
128,1,164,Choisir le chopine en Fer
130,1,145,Miser 10 Kamas
131,1,164,Demander si vous avez gagné.
133,1,140,Choisir la chopine en Bronze
134,1,164,Choisir la chopine en Etain
135,1,164,Choisir la chopine en Fer
136,1,164,Choisir une chopine au hasard
138,1,166,"Participer au jeu ""Tragic The Gardening"""
139,1,167,Demander où l'on peut trouver d'autres sets de cartes
140,2001,,Choisir un autre jeu
141,1,134,Choisir un autre jeu
142,1,168,Demander où se trouvent les Brasseurs
143,1,169,Proposer son aide
144,1,170,Se renseigner sur les Pains
145,1,172,Se renseigner sur la taverne
146,1,173,Proposer son aide
153,1,185,Se renseigner sur les Roublards
158,1,191,Demander où trouver les Roublards
164,2001,,Parier
165,2001,,Donner un trèfle à cinq feuilles
166,2001,,Rencontrer Wiss Catz
167,2001,,Entrer dans le labyrinthe
168,1,205,Se renseigner sur ces Dopeuls
169,2001,,Commencer l'entraînement
172,2001,,S'entrainer avec un dopeul
175,2001,,Commencer l'entraînement.
191,2001,,Demander son chemin
192,2001,,Continuer la discussion
193,2001,,Ecouter encore Ded Aléïcar 
194,2001,,Continuer d'écouter Ded Aléïcar
195,1,3289,Continuer la discussion
196,1,245,Demander à entrer dans le labyrinthe
197,15,"310,332,382,625",Donner un ongle de chevaucheur de Karne
198,1,248,Proposer un coup de main amical
199,2001,,Demander une mise à l'épreuve
200,2001,,Se renseigner sur le marteau de Forgeur de Marteaux
203,1,254,Se renseigner sur les duels
207,2001,,Proposer son aide
208,2001,,Demander la récompense
209,1,262,Demander comment aller à l'étage
213,2001,,Commencer l'entraînement
215,1,268,Demander comment est-il devenu maître si jeune
216,1,270,S'entrainer avec un dopeul
218,2001,,Commencer l'entraînement
220,2001,,Critiquer l'efficacité des champignons pour la coloration
224,1,281,Le questionner sur ses plans
225,2001,,Aspirer à entrer dans la bande de Mori Arty.
226,1,284,Proposer son aide
227,2001,,Demander ce qu'il fait jeudi
228,2001,,Proposer son aide
229,2001,,Se renseigner sur le prix de vente
230,2001,,Proposer ses services
231,2001,,Se renseigner sur le Pain au curry
232,2001,,Demander ce qu'il propose en échange de fémur
233,2001,,Demander comment obtenir le pain au curry sans curry
234,2001,,Accepter de l'aider
235,2001,,Demander le passage
236,2001,,Faire le test du regard
237,2001,,Du crime...
238,2001,,Le sauveur...
