id,name
0,Amakna
1,L\'île des Wabbits
2,L\'île de Moon
3,Prison
4,Tainéla
5,Sufokia
6,Forêt des Abraknydes
7,Bonta
8,Plaine de Cania
11,Brâkmar
12,Lande de Sidimote
13,Territoire des Dopeuls
14,Village des Brigandins
15,Foire du Trool
16,Foire du Trool
17,Tainéla
18,Astrub
19,Pandala Neutre
20,Pandala Eau
21,Pandala Terre
22,Pandala Feu
23,Pandala Air
24,Pandala Donjon
25,Le Champ du Repos
26,Le labyrinthe du Dragon Cochon
27,Donjon Abraknyde
28,Montagne des Koalaks
29,Donjon des Tofus
30,L\'île du Minotoror
31,Le labyrinthe du Minotoror
32,La bibliothèque du Maître Corbac
33,Donjon des Canidés
34,Caverne du Koulosse
35,Repaire de Skeunk
36,Sanctuaire des Familiers
37,Donjon des Craqueleurs
39,Donjon des Bworks
40,Donjon des Scarafeuilles
41,Donjon des Champs
42,Zone arctique
43,Donjon du Dragon Cochon
44,Donjon des Dragoeufs
45,Incarnam
46,Ile d\'Otomaï
47,Village des Zoths
48,Ile de Frigost
49,Amakna
50,Cimes de Cania
