id,name
1,Percepteur
23,Charlotte
26,Séline
35,Laura Soho
37,Amine
38,Rish Claymore
40,Filgar Feel
41,Setag
42,Zeurg
43,Epuop Tik
45,Rigal Main Crochue
46,Elya Wood
47,Edrige Valling
51,Kelog Korflex
52,Azra Lazarus
53,Farle Ingalsse
54,Shika Ingalsse
55,Captain Iglout
57,Bowisse
58,Hanniboul Smisse
59,Agrid Shakoku
60,Harrys Corb
61,Casper Van Brushing
62,Graham Finame
63,Abely Bobeule
66,Ralgout
78,Gardien du Kanojedo
79,Hugo Bélo
80,Grizmine
81,Linda Malibou
82,Boude Spenssour
83,Teransse Houlle
84,Vil Smisse
87,Ded Aléïcar
88,Lanseuft de Troille
89,Aria Knofob
90,Mori Arty
91,Simgood le marin
92,Hourax Hipipe
93,Ale One
94,Kwaker Vans
95,Allen Déchakal
96,Bellus Sel
97,Karim Katékit
98,Frankie
99,Lara Soft
100,Banquier
101,Loopine
102,Salamon Rudy
103,Ely Woullack
104,Keck Auprune
105,Djonz
106,Lee Aibig
107,Lou Pachoups
108,Ronsha
109,Ness Laye
110,Quincy Praïze
111,Otho Laringo
112,Ariz
113,Téha Chicks
114,Jimmy Rasta
115,Aga Dou
117,Bolzano Vieilletrasse
118,Heûl Leise
119,Assistant d'Otomaï 
120,Max
121,Koussein Trengon
122,Ali Akelle
123,Ozen Le sage
124,Eowïne Fiole
125,Drogho Cralasar
127,Harry Stote
128,Maître Roublard
129,Eleveur de Dragoeuf
132,Gregor Mendal
133,Sosh
134,Lily
136,Lily
137,Wa Wabbit
139,Logel le Lenald
140,Lilou la Lenald
141,Wabbit du Matin Pewlant
142,Logel le Lenald
143,Wabbit du Midi Wayonnant
144,Wabbit du Soiw Woulant
145,Lenald des Temps Anciens
146,Wob
147,Gawde Wabbit
148,Gawdien Dofus
149,Gawdien Dofus
151,Gropinson Cruaulé 
153,Promoteur de l'agence Touriste
154,Kib Roche
155,Kanniboul cuisinier
156,Issé Heau
157,Employé de l'agence Touriste
159,Kanniboul masque
160,Moon
161,Kara Hibe
162,Ortimus
163,Prêtre
164,Cherlook Holmus
165,Servante
166,Uba Tessé 
167,Kande Boffler
168,Boff Chalon
169,Vid Cheber
170,Benn Zin
171,Al Okab
172,Alshain
173,Rotabla le berger triste
174,Altaïr
175,Chaferfu
176,Hel Munster
177,Altaïr
178,Don Rouann
180,Amayiro
181,Tarazed
183,Oto Mustam
184,Tarche
185,Dame Cloude
186,Niamuh Boulkier
187,Shere Hacanon
188,Finche Aticus
189,Trev Pelsantery
190,Rei Rosert
191,Flora Retnie
192,Hersa Griffe Sombre 
193,Arone
194,Torche
196,Wogew l'hewmite
197,Leonzi Trool
198,Tabi de Grace Malcean
199,Clara Daule
200,Layol Nidalap 
201,Larry Poller
202,Jett Marte
203,William Lenglad
204,Vicky Facheyon
205,
206,Erem Dran
207,Larik Oubiac
208,
209,
210,
211,Yvan Amarh
212,Sen Eiser
213,Galde Avout
214,Hete Renelt
215,Capitaine Alrok
216,Onnel Passepat
217,Grace Malcean
218,Ruth Banke
220,Anik Mech
221,Moub Reicifitra
222,Chevalier Neuthr
223,Doug Tulvin
225,Gaï Tane
226,Ecureuil clairvoyant
227,Dike Tarak
229,Marsel Leax
230,Kaze koule
231,Ned Etsith
233,Ture Inge
235,Bill Iédebar
236,Connie Vini
237,Roca Charmé 
239,Musa 
240,Tavernier Feubuk
241,Marge Gondersun
242,Mak Gahan
243,Ivrogne anonyme
244,Tavernier Tabasse
245,Seci Ves
246,Guerrier Brank Thoof
247,Guerrier Seta Bnamron
248,Guerrier Tink Berval
249,Guerrier Kad Maxy
250,Guerrier Jack Rottance
251,Guerrier Haco Norss
252,Guerrier Xale DuGros
253,Guerrier Nager Nacmeil
254,Guerrier Sivart Bicelk
255,Guerrier Bishom Pot
256,Kosuke Ichazum
257,Capitaine Malfe
258,Fryda Griffe-de-la-Nuit
259,Rekojel
260,Tek Apout
261,Kazzy Duno
262,Allen Tokar
264,Rafaj
265,Dante Sion
266,Baal O'Char
267,Diabalou
268,Mimi Fista
269,Vagabond
270,Servante démoniaque
271,Bout d'chair 
272,Roupi Chipon 
273,Tadosse
274,Rucar
277,Milone Corichel
278,Artok
279,Boulor
280,Sotsiah Peh
281,Gymy Ro
282,ZolTAN
283,Trysy
284,Enamira
285,Fulsura
287,Tamiat
288,Koli
289,Sperwel
290,Iakos
291,
292,Tavernier Bagrutte
293,Tavernier Alakarte
294,Tavernier Chopenbois
295,Tavernier Pinchaut
296,Tavernier Ferayeur
297,Oshimo
298,Nissacram
300,Bhan Laka
301,
302,
303,
304,
305,Jerhyn Gholein
306,Ala Raine
307,Tabach le Greffier
308,Aigurraf le Greffier
309,"Ybaul, Greffière"
310,Kaffra Kyper
311,Chevalier Hertuen
312,Bruli Ounim
313,Rika Charmé 
314,Huta Wouite
315,Paro Cabanne
316,Angelo Bolle
318,Danathor
319,Rei Nisuc
320,Trof Hapyus
321,Krachan Porterr
322,Kro Burk
323,Jiaye Djaul
324,
325,Ichassi Djaul
326,Malicia Misère
327,
328,Aldir Atolmond
329,Ranj Thé 
330,Capitaine Essacarf
331,Houé Dapyus
332,
333,Colonel Lyeno
334,Chevalier Nogard
335,Sbab 
336,Capitaine Koda
337,Gobelin
338,
339,
341,Raaga
342,Raaga
343,Sentinelle Tevi Lup
344,Sentinelle ChÃƒÂ´ Peleux
345,Sentinelle Yourig Ella
346,Sentinelle Eche Pediot
347,Sentinelle Emide Routte
348,Garde Pritt Ganslante
349,Garde Herviss Ganslante
350,Garde Aybou Ganslante
351,Satirev Refibrom 
352,Coupable I
353,Coupable II
354,Coupable III
355,
356,Mèr
357,Puja Mustam
358,Gardien Ace Bruth
359,Ecureuil attachant
360,Ecureuil savant
361,Ecureuil séduisant
362,Ecureuil ambulant
363,Chevalier Fougarde
364,Trojen Tihpor
365,Mulic Bere
366,Meneur Rocopal
367,Domen
369,Heticili Ufot 
370,Guf Ruheu
371,Reuth Rezed
372,Mente Heur 
373,Ecureuil miraculeux
374,Gelée Royale Bleue
375,Gelée Royale Citron
376,Gelée Royale Fraise
377,Gelée Royale Menthe
378,Ganymède
379,Brik Enbroc
380,Frye Handiz
382,Ganymède
383,Girle Pylote
384,Chaki Triss
385,Deneb Okab
386,
387,Yan Chenap
388,Efu Irtaface
389,Mama Ayuto
391,Mam Hikofre
392,Tarazed
393,Yova Etna
394,Marine Lond
395,Dicenai Lond
396,Faur Inkaisse
397,Maxims
398,Hinss Hairt
399,Belguel Cul-Talon
400,Krip Soue
401,Bullie Duble 
402,Sû Benhir 
403,Frank Genis
404,Miss Reeze Teurf
405,Notend Less
406,Fey Gnan
407,Pat Pott
408,Rudla Faurtune
409,Ze Krow
410,Ka Tuor
411,
412,
413,
414,
415,Fleutus Riktus
416,Gorko Casku
417,
418,Vylag Hoise
419,
420,
421,
422,Limine Bryone
423,Silimote Fougaris
424,Tajide Ragalde
425,Elisa Granite
426,Eluhise Valing
427,Rihine Pléhouverte
428,Sirmine Daguiero
429,Hirpine Fécalamité 
430,Félénie Grismina
431,Lisa Modas
432,Emilie Yuh
433,Juhdo Peule
434,Orlando Peule
435,Haïkido Peule
436,Brigitebardo Peule
437,Marlonebrando Peule
438,Ricardo Peule
439,Bernardo Peule
440,Edmondo Peule
441,Ninetainedo Peule
442,Micado Peule
443,Makdo Peule
444,Kib Roche
447,Wally Elconom
448,Eilof Aledec
449,Erty Trapchet
450,Yke Harou
451,Pleur Nycheuz
452,Oz Dralett
453,Marp
454,Louc Drif
455,Seria
456,Fuu Yie
457,Soki
458,Aida
459,Yol Grivind
460,Locette Lurnbell
462,Shani Sings
463,Sam Croa
464,Tek Abir
465,Yve Konpetmin
467,Alit Elfminate
468,Menge Paca
470,Phite Pouque
471,Allisteria
472,Saketsu
473,Montrakwartz
474,Mon'Hawt'Wit'
475,Ogivol Scalarcin
476,Jim Fleps
477,Grand-mère
478,Ztiv Oztin
479,Nepra Lido
480,Setsinbol
481,Joe Pierlivet
482,Deudoiné 
483,Ticra
484,Oli Venders
485,Clint Pot
486,Nibé Lulle
